variant,k,layer,recall,samples
full,1,26,0.7566666666666667,1200
full,1,27,0.685,1200
full,1,28,0.7933333333333333,1200
full,1,29,0.7491666666666666,1200
full,1,30,0.735,1200
full,1,31,0.7791666666666667,1200
full,1,32,0.7766666666666666,1200
full,1,33,0.6575,1200
full,1,34,0.6966666666666667,1200
full,1,35,0.7091666666666666,1200
full,1,36,0.6683333333333333,1200
full,1,37,0.6466666666666666,1200
full,1,38,0.3725,1200
full,1,39,0.8116666666666666,1200
full,1,40,0.7733333333333333,1200
full,1,41,0.5833333333333334,1200
full,1,42,0.6633333333333333,1200
full,1,43,0.6491666666666667,1200
full,1,44,0.6533333333333333,1200
full,1,45,0.5916666666666667,1200
full,1,46,0.5466666666666666,1200
full,2,0,0.4025,1200
full,2,1,0.41333333333333333,1200
full,2,2,0.5258333333333334,1200
full,2,3,0.54,1200
full,2,4,0.6491666666666667,1200
full,2,5,0.7525,1200
full,2,6,0.7191666666666666,1200
full,2,7,0.7175,1200
full,2,8,0.7025,1200
full,2,9,0.6258333333333334,1200
full,2,10,0.6383333333333333,1200
full,2,11,0.6266666666666667,1200
full,2,12,0.6208333333333333,1200
full,2,13,0.5533333333333333,1200
full,2,14,0.71,1200
full,2,15,0.6758333333333333,1200
full,2,16,0.47833333333333333,1200
full,2,17,0.6908333333333333,1200
full,2,18,0.6741666666666667,1200
full,2,19,0.5875,1200
full,2,20,0.4866666666666667,1200
full,2,21,0.6016666666666667,1200
full,2,22,0.6116666666666667,1200
full,2,23,0.73,1200
full,2,24,0.6925,1200
full,2,25,0.625,1200
full,2,26,0.675,1200
full,2,27,0.6866666666666666,1200
full,2,28,0.7041666666666667,1200
full,2,29,0.5425,1200
full,2,30,0.7466666666666667,1200
full,2,31,0.6641666666666667,1200
full,2,32,0.47333333333333333,1200
full,2,33,0.6691666666666667,1200
full,2,34,0.5891666666666666,1200
full,2,35,0.6166666666666667,1200
full,2,36,0.4683333333333333,1200
full,2,37,0.5108333333333334,1200
full,2,38,0.38083333333333336,1200
full,2,39,0.69,1200
full,2,40,0.4041666666666667,1200
full,2,41,0.7433333333333333,1200
full,2,42,0.6291666666666667,1200
full,2,43,0.5208333333333334,1200
full,2,44,0.43,1200
full,2,45,0.3775,1200
full,3,0,0.12666666666666668,1200
full,3,1,0.4791666666666667,1200
full,3,2,0.5708333333333333,1200
full,3,3,0.5658333333333333,1200
full,3,4,0.6583333333333333,1200
full,3,5,0.6691666666666667,1200
full,3,6,0.665,1200
full,3,7,0.6466666666666666,1200
full,3,8,0.6341666666666667,1200
full,3,9,0.5725,1200
full,3,10,0.4975,1200
full,3,11,0.605,1200
full,3,12,0.54,1200
full,3,13,0.5725,1200
full,3,14,0.6733333333333333,1200
full,3,15,0.4225,1200
full,3,16,0.6016666666666667,1200
full,3,17,0.695,1200
full,3,18,0.6675,1200
full,3,19,0.4558333333333333,1200
full,3,20,0.8008333333333333,1200
full,3,21,0.7141666666666666,1200
full,3,22,0.5741666666666667,1200
full,3,23,0.5166666666666667,1200
full,3,24,0.6558333333333334,1200
full,3,25,0.515,1200
full,3,26,0.6191666666666666,1200
full,3,27,0.5983333333333334,1200
full,3,28,0.5575,1200
full,3,29,0.5925,1200
full,3,30,0.6941666666666667,1200
full,3,31,0.42,1200
full,3,32,0.5541666666666667,1200
full,3,33,0.5275,1200
full,3,34,0.5833333333333334,1200
full,3,35,0.49166666666666664,1200
full,3,36,0.6541666666666667,1200
full,3,37,0.5091666666666667,1200
full,3,38,0.4175,1200
full,3,39,0.3616666666666667,1200
full,3,40,0.7033333333333334,1200
full,3,41,0.52,1200
full,3,42,0.47583333333333333,1200
full,3,43,0.3516666666666667,1200
full,3,44,0.33666666666666667,1200
full,4,0,0.2025,1200
full,4,1,0.4533333333333333,1200
full,4,2,0.575,1200
full,4,3,0.5708333333333333,1200
full,4,4,0.5858333333333333,1200
full,4,5,0.6008333333333333,1200
full,4,6,0.5666666666666667,1200
full,4,7,0.5808333333333333,1200
full,4,8,0.655,1200
full,4,9,0.39416666666666667,1200
full,4,10,0.5033333333333333,1200
full,4,11,0.5275,1200
full,4,12,0.5158333333333334,1200
full,4,13,0.5733333333333334,1200
full,4,14,0.575,1200
full,4,15,0.54,1200
full,4,16,0.5775,1200
full,4,17,0.47333333333333333,1200
full,4,18,0.6366666666666667,1200
full,4,19,0.7125,1200
full,4,20,0.7808333333333334,1200
full,4,21,0.6383333333333333,1200
full,4,22,0.4866666666666667,1200
full,4,23,0.5825,1200
full,4,24,0.6,1200
full,4,25,0.47833333333333333,1200
full,4,26,0.5866666666666667,1200
full,4,27,0.5533333333333333,1200
full,4,28,0.5941666666666666,1200
full,4,29,0.6358333333333334,1200
full,4,30,0.5791666666666667,1200
full,4,31,0.5025,1200
full,4,32,0.46166666666666667,1200
full,4,33,0.4925,1200
full,4,34,0.5975,1200
full,4,35,0.5616666666666666,1200
full,4,36,0.635,1200
full,4,37,0.5166666666666667,1200
full,4,38,0.42916666666666664,1200
full,4,39,0.6441666666666667,1200
full,4,40,0.43333333333333335,1200
full,4,41,0.4625,1200
full,4,42,0.36083333333333334,1200
full,4,43,0.2275,1200
input_only,1,0,0.3016666666666667,1200
input_only,1,1,0.6058333333333333,1200
input_only,1,2,0.5116666666666667,1200
input_only,1,3,0.6541666666666667,1200
input_only,1,4,0.7241666666666666,1200
input_only,1,5,0.7308333333333333,1200
