slots,layer,events,local_hidden_cosine,local_hidden_relative_l2,fifo_pool_hit8,fifo_ranked_recall8,fifo_ranked_recall16
32,42,1947,0.9872051872108822,0.13032020869413438,0.4592321520287622,0.1483050847457627,0.2544940934771443
32,43,1947,0.9954073021919527,0.07010087891335391,0.6385464817668207,0.20435285053929123,0.36414997431946583
32,44,1947,0.9946087873607976,0.08239834574574523,0.5402542372881356,0.2006291730868002,0.32794042116076016
32,45,1947,0.9964738192299294,0.057162340018817794,0.5612480739599384,0.1856702619414484,0.31664098613251157
32,46,1947,0.9971157957550918,0.052625259992509596,0.5349255264509502,0.17128916281458653,0.3136877247046739
32,47,340,0.9942153959201254,0.07629303956666414,0.3863970588235294,0.1386029411764706,0.23566176470588235
44,0,1947,0.9681861911798326,0.2387121058585401,0.2864663585002568,0.05007704160246533,0.10400616332819723
44,1,1947,0.9945359334425922,0.07100581419097413,0.4791345659989728,0.1263482280431433,0.22284283513097072
44,2,1947,0.9852870289809733,0.11888900429425546,0.5101438109912686,0.1449024139702106,0.23767334360554698
44,3,1947,0.997032604164149,0.0491740951865,0.70871854134566,0.18220338983050846,0.3385336414997432
44,4,1947,0.9884704346242383,0.08172572797251973,0.6601823317925013,0.1469568567026194,0.27799178222907034
44,5,1947,0.9955571379011481,0.07065738055780157,0.5675398048279404,0.1687211093990755,0.29468412942989214
44,6,1947,0.990898239279565,0.09638620310548635,0.5267719568567026,0.15832049306625579,0.25924499229583975
44,7,1947,0.9947499081267396,0.08817850808535883,0.5071263482280431,0.14920390344119158,0.2513482280431433
44,8,1947,0.9990722723064462,0.030823680063190716,0.6886877247046739,0.21141499743194658,0.3656266050333847
44,9,1947,0.9993774883389559,0.027275222220485725,0.7477529532614279,0.19331022085259372,0.34880585516178736
44,10,1947,0.9980652962388659,0.044458540035891975,0.6794427324088341,0.18175398048279404,0.33866204417051876
44,11,1947,0.9992389776117132,0.0306103165038801,0.7225860297894197,0.1934386235233693,0.370698510529019
44,12,1947,0.9947411560798557,0.09228560518382217,0.5338983050847458,0.1378402670775552,0.24723934257832564
44,13,1947,0.9984923220242259,0.04215966437014171,0.7285567539804828,0.1883025166923472,0.34893425783256293
44,14,1947,0.9982120025792555,0.04904033787530694,0.698959938366718,0.1709039548022599,0.32877503852080125
44,15,1947,0.9990011509170664,0.025579417133495406,0.8504750898818696,0.19093477144324603,0.39881869542886494
44,16,1947,0.9986538055818099,0.037140474324027374,0.8098998459167951,0.18843091936312276,0.3763482280431433
44,17,1947,0.9977651525286002,0.05401910623622901,0.6951078582434514,0.1866974833076528,0.3409732922444787
44,18,1947,0.9920768988300329,0.1118650877280586,0.539291217257319,0.1413713405238829,0.2518618387262455
44,19,1947,0.9970271625494492,0.06345139885753104,0.6667308680020544,0.1947226502311248,0.3447611710323575
44,20,1947,0.9963918535288724,0.07240664663518881,0.6031715459681561,0.1694915254237288,0.28537493579866463
44,21,1947,0.9910140046722657,0.10981882801708123,0.5772342064714946,0.1805341551104263,0.29031843862352336
44,22,1947,0.9715935657306581,0.1919886354973094,0.3731381612737545,0.10041088854648177,0.17616846430405753
44,23,1947,0.9977306084630926,0.05211380495317712,0.7322804314329738,0.18618387262455058,0.3514381099126862
