graph_id,layer,hits,misses,pred_hits,pred_total,cpu_experts
17,21,21,9,0,10,3
17,22,27,3,0,10,1
17,23,18,12,0,10,4
17,24,24,6,0,10,2
17,25,24,6,0,10,2
17,26,27,3,0,10,1
17,27,27,3,0,10,1
17,28,27,3,0,10,1
17,29,24,6,0,10,2
17,30,27,3,0,10,1
17,31,18,12,0,10,4
17,32,18,12,0,10,4
17,33,15,15,0,10,5
17,34,24,6,0,10,2
17,35,24,6,0,10,2
17,36,27,3,0,10,1
17,37,24,6,0,10,2
17,38,24,6,0,10,2
17,39,30,0,0,10,0
17,40,24,6,0,10,2
17,41,27,3,0,10,1
17,42,27,3,0,10,1
17,43,27,3,0,10,1
17,44,27,3,0,10,1
17,45,27,3,0,10,1
17,46,27,3,0,10,1
17,47,30,0,0,10,0
17,-1,65622,1401,1019,10047,0,21367,4582,39386
18,0,9,21,0,0,7
18,1,21,9,0,10,3
18,2,18,12,0,10,4
18,3,24,6,0,10,2
18,4,24,6,0,10,2
18,5,21,9,0,10,3
18,6,21,9,0,10,3
18,7,21,9,0,10,3
18,8,21,9,0,10,3
18,9,30,0,0,10,0
18,10,21,9,0,10,3
18,11,18,12,0,10,4
18,12,24,6,0,10,2
18,13,12,18,0,10,6
18,14,21,9,0,10,3
18,15,27,3,0,10,1
18,16,27,3,0,10,1
18,17,18,12,0,10,4
18,18,21,9,0,10,3
18,19,21,9,0,10,3
18,20,24,6,0,10,2
18,21,24,6,0,10,2
18,22,21,9,0,10,3
18,23,27,3,0,10,1
18,24,18,12,0,10,4
18,25,30,0,0,10,0
18,26,21,9,0,10,3
18,27,24,6,0,10,2
18,28,15,15,0,10,5
18,29,21,9,0,10,3
18,30,27,3,0,10,1
18,31,30,0,0,10,0
18,32,27,3,0,10,1
18,33,27,3,0,10,1
18,34,21,9,0,10,3
18,35,24,6,0,10,2
18,36,30,0,0,10,0
18,37,24,6,0,10,2
18,38,15,15,0,10,5
18,39,27,3,0,10,1
18,40,30,0,0,10,0
18,41,27,3,0,10,1
18,42,21,9,0,10,3
18,43,27,3,0,10,1
18,44,30,0,0,10,0
18,45,21,9,0,10,3
18,46,21,9,0,10,3
18,47,30,0,0,10,0
18,-1,60245,1496,1162,9784,0,15308,4665,39964
19,0,12,18,0,0,6
19,1,15,15,0,10,5
19,2,24,6,0,10,2
19,3,24,6,0,10,2
19,4,27,3,0,10,1
19,5,27,3,0,10,1
19,6,18,12,0,10,4
19,7,15,15,0,10,5
19,8,27,3,0,10,1
19,9,24,6,0,10,2
19,10,18,12,0,10,4
19,11,18,12,0,10,4
19,12,18,12,0,10,4
19,13,12,18,0,10,6
19,14,21,9,0,10,3
19,15,21,9,0,10,3
19,16,24,6,0,10,2
19,17,18,12,0,10,4
19,18,18,12,0,10,4
19,19,21,9,0,10,3
19,20,21,9,0,10,3
19,21,15,15,0,10,5
19,22,6,24,0,10,8
19,23,24,6,0,10,2
19,24,24,6,0,10,2
19,25,27,3,0,10,1
19,26,18,12,0,10,4
19,27,24,6,0,10,2
19,28,12,18,0,10,6
19,29,15,15,0,10,5
19,30,24,6,0,10,2
19,31,18,12,0,10,4
19,32,27,3,0,10,1
19,33,15,15,0,10,5
19,34,18,12,0,10,4
19,35,21,9,0,10,3
19,36,21,9,0,10,3
19,37,21,9,0,10,3
19,38,9,21,0,10,7
19,39,21,9,0,10,3
19,40,24,6,0,10,2
19,41,24,6,0,10,2
19,42,15,15,0,10,5
19,43,27,3,0,10,1
19,44,18,12,0,10,4
19,45,30,0,0,10,0
19,46,21,9,0,10,3
19,47,27,3,0,10,1
19,-1,74289,2047,1234,10942,0,25410,5715,42866
20,0,15,15,0,0,5
20,1,21,9,0,10,3
20,2,24,6,0,10,2
20,3,30,0,0,10,0
20,4,24,6,0,10,2
20,5,24,6,0,10,2
20,6,12,18,0,10,6
20,7,18,12,0,10,4
20,8,21,9,0,10,3
20,9,27,3,0,10,1
20,10,18,12,0,10,4
20,11,24,6,0,10,2
20,12,15,15,0,10,5
20,13,27,3,0,10,1
20,14,27,3,0,10,1
20,15,30,0,0,10,0
20,16,30,0,0,10,0
