rows,resident_pages,capacity_pages,hits,misses,hit_rate,total_hits,total_misses,total_prefetch_pages
16,3879,16388,1,15,0.062500,17,3879,0
8,3887,16388,0,8,0.000000,17,3887,0
16,3903,16388,0,16,0.000000,17,3903,0
16,3919,16388,0,16,0.000000,17,3919,0
16,3935,16388,0,16,0.000000,17,3935,0
16,3950,16388,1,15,0.062500,18,3950,0
8,3958,16388,0,8,0.000000,18,3958,0
16,3974,16388,0,16,0.000000,18,3974,0
16,3990,16388,0,16,0.000000,18,3990,0
16,4006,16388,0,16,0.000000,18,4006,0
16,4022,16388,0,16,0.000000,18,4022,0
16,4038,16388,0,16,0.000000,18,4038,0
16,4054,16388,0,16,0.000000,18,4054,0
16,4070,16388,0,16,0.000000,18,4070,0
16,4085,16388,1,15,0.062500,19,4085,0
16,4101,16388,0,16,0.000000,19,4101,0
16,4117,16388,0,16,0.000000,19,4117,0
16,4133,16388,0,16,0.000000,19,4133,0
16,4149,16388,0,16,0.000000,19,4149,0
16,4164,16388,1,15,0.062500,20,4164,0
16,4180,16388,0,16,0.000000,20,4180,0
16,4196,16388,0,16,0.000000,20,4196,0
16,4211,16388,1,15,0.062500,21,4211,0
8,4219,16388,0,8,0.000000,21,4219,0
16,4235,16388,0,16,0.000000,21,4235,0
16,4251,16388,0,16,0.000000,21,4251,0
16,4267,16388,0,16,0.000000,21,4267,0
16,4283,16388,0,16,0.000000,21,4283,0
16,4299,16388,0,16,0.000000,21,4299,0
16,4315,16388,0,16,0.000000,21,4315,0
16,4331,16388,0,16,0.000000,21,4331,0
16,4346,16388,1,15,0.062500,22,4346,0
16,4362,16388,0,16,0.000000,22,4362,0
16,4378,16388,0,16,0.000000,22,4378,0
16,4394,16388,0,16,0.000000,22,4394,0
16,4410,16388,0,16,0.000000,22,4410,0
16,4426,16388,0,16,0.000000,22,4426,0
16,4442,16388,0,16,0.000000,22,4442,0
16,4458,16388,0,16,0.000000,22,4458,0
16,4474,16388,0,16,0.000000,22,4474,0
8,4481,16388,1,7,0.125000,23,4481,0
16,4497,16388,0,16,0.000000,23,4497,0
40,4536,16388,1,39,0.025000,24,4536,0
136,4670,16388,2,134,0.014706,26,4670,0
16,4684,16388,2,14,0.125000,28,4684,0
16,4700,16388,0,16,0.000000,28,4700,0
16,4716,16388,0,16,0.000000,28,4716,0
16,4732,16388,0,16,0.000000,28,4732,0
16,4748,16388,0,16,0.000000,28,4748,0
16,4763,16388,1,15,0.062500,29,4763,0
16,4779,16388,0,16,0.000000,29,4779,0
16,4795,16388,0,16,0.000000,29,4795,0
16,4811,16388,0,16,0.000000,29,4811,0
16,4827,16388,0,16,0.000000,29,4827,0
16,4843,16388,0,16,0.000000,29,4843,0
16,4859,16388,0,16,0.000000,29,4859,0
16,4875,16388,0,16,0.000000,29,4875,0
16,4891,16388,0,16,0.000000,29,4891,0
16,4907,16388,0,16,0.000000,29,4907,0
16,4923,16388,0,16,0.000000,29,4923,0
16,4939,16388,0,16,0.000000,29,4939,0
16,4955,16388,0,16,0.000000,29,4955,0
16,4970,16388,1,15,0.062500,30,4970,0
8,4978,16388,0,8,0.000000,30,4978,0
16,4993,16388,1,15,0.062500,31,4993,0
16,5009,16388,0,16,0.000000,31,5009,0
16,5025,16388,0,16,0.000000,31,5025,0
16,5041,16388,0,16,0.000000,31,5041,0
16,5057,16388,0,16,0.000000,31,5057,0
16,5073,16388,0,16,0.000000,31,5073,0
8,5081,16388,0,8,0.000000,31,5081,0
16,5097,16388,0,16,0.000000,31,5097,0
16,5113,16388,0,16,0.000000,31,5113,0
16,5129,16388,0,16,0.000000,31,5129,0
8,5137,16388,0,8,0.000000,31,5137,0
16,5152,16388,1,15,0.062500,32,5152,0
16,5168,16388,0,16,0.000000,32,5168,0
16,5184,16388,0,16,0.000000,32,5184,0
8,5192,16388,0,8,0.000000,32,5192,0
16,5208,16388,0,16,0.000000,32,5208,0
16,5224,16388,0,16,0.000000,32,5224,0
16,5239,16388,1,15,0.062500,33,5239,0
8,5247,16388,0,8,0.000000,33,5247,0
16,5263,16388,0,16,0.000000,33,5263,0
16,5279,16388,0,16,0.000000,33,5279,0
8,5287,16388,0,8,0.000000,33,5287,0
16,5302,16388,1,15,0.062500,34,5302,0
16,5317,16388,1,15,0.062500,35,5317,0
16,5333,16388,0,16,0.000000,35,5333,0
8,5341,16388,0,8,0.000000,35,5341,0
16,5357,16388,0,16,0.000000,35,5357,0
16,5373,16388,0,16,0.000000,35,5373,0
8,5381,16388,0,8,0.000000,35,5381,0
16,5397,16388,0,16,0.000000,35,5397,0
16,5413,16388,0,16,0.000000,35,5413,0
16,5429,16388,0,16,0.000000,35,5429,0
16,5445,16388,0,16,0.000000,35,5445,0
16,5461,16388,0,16,0.000000,35,5461,0
16,5477,16388,0,16,0.000000,35,5477,0
16,5493,16388,0,16,0.000000,35,5493,0
16,5509,16388,0,16,0.000000,35,5509,0
8,5517,16388,0,8,0.000000,35,5517,0
16,5532,16388,1,15,0.062500,36,5532,0
16,5548,16388,0,16,0.000000,36,5548,0
8,5556,16388,0,8,0.000000,36,5556,0
16,5572,16388,0,16,0.000000,36,5572,0
16,5588,16388,0,16,0.000000,36,5588,0
16,5604,16388,0,16,0.000000,36,5604,0
16,5620,16388,0,16,0.000000,36,5620,0
16,5636,16388,0,16,0.000000,36,5636,0
16,5652,16388,0,16,0.000000,36,5652,0
16,5668,16388,0,16,0.000000,36,5668,0
16,5683,16388,1,15,0.062500,37,5683,0
16,5699,16388,0,16,0.000000,37,5699,0
16,5714,16388,1,15,0.062500,38,5714,0
