slots,layer,events,recall8,recall16,recall32,residual_events,residual_recall8,residual_recall16,residual_recall32
44,10,1867,0.9408810926620247,0.9989957150508838,1.0,1698,0.9132649054910539,0.9986994503337259,1.0
44,11,1867,0.9309051955008034,0.9989957150508838,1.0,1653,0.9073171434332957,0.9979935470861061,1.0
44,12,1867,0.9596277450455276,0.9997321906802357,1.0,1797,0.9544028407133582,0.9997217584863661,1.0
44,13,1867,0.9434922335297269,0.999129619710766,0.999933047670059,1627,0.8967863728158749,0.9985914771563204,0.9999231714812539
44,14,1867,0.9324450990894483,0.9978575254418853,1.0,1662,0.9234334708612687,0.9975230645808264,1.0
44,15,1867,0.9258837707552223,0.9908944831280129,0.9993304767005892,1332,0.8860834048334049,0.9903403403403402,0.9983733733733733
44,16,1867,0.9390064274236744,0.9944429566148902,0.9998660953401178,1417,0.9041158382901502,0.9924135497529993,0.9998235709244884
44,17,1867,0.942019282271023,0.9985940010712373,0.9998660953401178,1713,0.9415665916103745,0.9986135434909515,0.9998540572095739
44,18,1867,0.9669925013390466,0.9998660953401178,1.0,1839,0.9652709806054014,0.9998640565524741,1.0
44,19,1867,0.9082753079807178,0.9958489555436529,1.0,1701,0.8623848716441308,0.996511855771115,1.0
44,20,1867,0.9305034815211569,0.99752276379218,1.0,1793,0.9271903965155499,0.9965739781690701,1.0
44,21,1867,0.946103374397429,0.998326191751473,0.9998660953401178,1704,0.9342247932036666,0.9980186675609211,0.9997799295774648
44,22,1867,0.9455008034279593,0.998393144081414,1.0,1852,0.9423326133909288,0.9981467911138537,1.0
44,23,1867,0.925615961435458,0.9938403856454204,0.9985270487412962,1648,0.8705046521035599,0.9839199029126213,0.9934263754045308
44,24,1867,0.9734199250133905,0.999933047670059,1.0,1744,0.9623313947138489,0.9999283256880734,1.0
44,25,1867,0.9083422603106588,0.9953133369041243,0.9985940010712373,1683,0.8588992162521575,0.9948999801940978,0.9984402852049911
44,26,1867,0.9307043385109802,0.9970540974825924,1.0,1768,0.908804002370179,0.9964884992458521,1.0
44,27,1867,0.9106855918585967,0.9888189608998393,0.9989287627209427,1694,0.8857648844661831,0.9876770956316411,0.9988193624557261
44,28,1867,0.9477771826459561,0.9988618103910016,1.0,1818,0.9222012677458222,0.9987898789878987,1.0
44,29,1867,0.9380021424745582,0.9994643813604713,1.0,1623,0.9132984185664408,0.9993838570548367,1.0
44,30,1867,0.9371987145152652,0.9941081949651848,1.0,1790,0.9163175046554936,0.9929003724394785,1.0
44,31,1867,0.8952196036422068,0.9888859132297804,0.9974558114622389,1407,0.8373878904795748,0.9851042407012557,0.9984008528784648
44,32,1867,0.94121585431173,0.9949116229244778,0.9998660953401178,1432,0.9129140063846767,0.9931539305666401,0.9998254189944135
44,33,1867,0.9420862346009641,0.9981253347616497,0.9998660953401178,1708,0.9333305453328872,0.9976141686182669,0.9998536299765808
44,34,1867,0.9553427959292984,0.9945099089448313,0.9986609534011783,1812,0.9518770366866393,0.9915838852097131,0.9972406181015453
44,35,1867,0.8912024638457419,0.990224959828602,0.9987948580610605,1747,0.8634100635102352,0.9859377981301278,0.9982112192329708
44,36,1867,0.9390064274236744,0.9981253347616497,0.9998660953401178,1716,0.9196137196137196,0.9978334165834166,0.9998543123543123
44,37,1867,0.9459694697375469,0.9977236207820032,0.9996652383502946,1759,0.9350618587400851,0.9974038279325375,0.999644684479818
44,38,1867,0.9382029994643813,0.9971880021424746,0.9992635243706481,1830,0.9366712204007286,0.9970940671350508,0.9991666666666666
44,39,1867,0.9220674879485806,0.9929030530262453,0.999933047670059,1447,0.8447913581465758,0.9751266989173001,0.999913614374568
44,40,1867,0.9444965184788431,0.9971880021424746,0.9998660953401178,1466,0.9306389267849022,0.9965040927694406,0.9998294679399727
44,41,1867,0.9437600428494911,0.9980583824317086,0.999933047670059,1702,0.944924038945778,0.9979086229086229,0.9999265569917744
44,42,1867,0.9498527048741296,0.9986609534011783,0.9995982860203535,1722,0.9433120402632597,0.9984998064266357,0.9995644599303136
44,43,1867,0.9252811997857525,0.990158007498661,0.9973219068023568,1566,0.9179878975855986,0.9871905978227817,0.9968071519795658
44,44,1867,0.9570166041778254,0.9993304767005892,0.999933047670059,1729,0.9523382632405188,0.9992233330579195,0.9999277038750723
44,45,1867,0.9259507230851634,0.9923674343867167,0.9984600964113551,1738,0.907751109649844,0.9914221327196011,0.9974012274645188
44,46,1867,0.927289769683985,0.992635243706481,0.9995313336904125,1762,0.905755094319226,0.991634235987244,0.9992858494135453
44,47,340,0.8356617647058824,0.9511029411764705,0.9794117647058823,340,0.8356617647058824,0.9511029411764705,0.9794117647058823
64,1,1867,0.9230048205677558,0.9973219068023568,1.0,1783,0.8969967684213338,0.9953302352909756,1.0
64,2,1867,0.9064675950723086,0.9925682913765399,0.9971880021424746,1820,0.9033451072736788,0.992015306122449,0.9971153846153846
64,3,1867,0.8787493304767006,0.9805168719871451,0.9929700053561864,1505,0.8118960607498814,0.9677068501819334,0.9909191583610187
64,4,1867,0.9514595607927155,0.9977905731119443,1.0,1507,0.945780800707808,0.9968480424684805,1.0
64,5,1867,0.9335832886984468,0.9937064809855383,0.9985940010712373,1742,0.919998223169865,0.9931400688863375,0.9984931113662457
64,6,1867,0.964046598821639,0.9997321906802357,1.0,1727,0.9606232939035487,0.9997394325419803,1.0
64,7,1867,0.9355918585966791,0.9912961971076594,0.995915907873594,1737,0.9227759958329907,0.9906687775858761,0.9956102475532528
64,8,1867,0.9388725227637922,0.9995313336904125,1.0,1664,0.8949597928113554,0.9991586538461538,1.0
64,9,1867,0.9352570969469738,0.9987948580610605,0.999933047670059,1442,0.9105797173238228,0.9984272835347732,0.9999133148404993
64,10,1867,0.9444965184788431,0.9989957150508838,0.999933047670059,1645,0.9171616731799103,0.9987386018237082,0.9998784194528875
64,11,1867,0.9349223352972683,0.9989957150508838,1.0,1491,0.8972166331321261,0.9978537894030851,1.0
64,12,1867,0.9653856454204607,0.9997321906802357,1.0,1749,0.9620170709793352,0.9997141223556318,1.0
64,13,1867,0.9426888055704339,0.999129619710766,0.999933047670059,1548,0.9032776547311431,0.9984657622739018,0.9999192506459949
64,14,1867,0.9402785216925549,0.9979244777718265,1.0,1536,0.9159063430059523,0.9974283854166667,1.0
